Tag,No.Economico,Fecha,Hora,Caseta,Carril,Clase,Importe,Fecha Aplicacion,Hora Aplicacion,Consecar
IMDM27492882..,HH291,31/01/2025,23:58:37,PALMILLAS BIS,PALMILLAS BIS 11,2,$219.00,01/02/2025,12:00:00,36097579
IMDM27058335..,111,31/01/2025,23:54:05,LIB. SUR DE GUAD.,LIB. SUR DE GUAD. 4,5,$175.00,01/02/2025,12:00:00,36093340
IMDM27492891..,TR294,31/01/2025,23:53:42,LA ANTIGUA,LA ANTIGUA 08,1,$431.00,01/02/2025,12:00:00,36097579
IMDM27492847..,TR296,31/01/2025,23:53:26,LA ANTIGUA,LA ANTIGUA 07,1,$300.00,01/02/2025,12:00:00,36097579
IMDM27291919..,HH176,31/01/2025,23:53:04,AMOZOC-PEROTE,T2-CUAPIAXTLA,1,$241.00,01/02/2025,12:00:00,36097579
IMDM27492881..,HH277,31/01/2025,23:52:43,ENCARNACION DE DIAZ,ENCARNACIÓN DIAZ 4B,5,$417.00,01/02/2025,12:00:00,36093340
IMDM27291942..,HH159,31/01/2025,23:52:28,PLAN DE RIO,PLAN DEL RÍO 03,1,$258.00,01/02/2025,12:00:00,36097579
IMDM30057683..,HH 233,31/01/2025,23:52:25,DOVALI,DOVALI 3,5,$70.00,01/02/2025,12:00:00,36093340
IMDM24319647..,HH59,31/01/2025,23:50:35,ECUANDUREO,ECUANDUREO 2,5,$351.00,01/02/2025,12:00:00,36093340
IMDM27058353..,HH 112,31/01/2025,23:50:35,LAS CHOAPAS,LAS CHOAPAS 5,5,$241.00,01/02/2025,12:00:00,36093340
IMDM27058358..,HH 117,31/01/2025,23:48:43,PALMILLAS,PALMILLAS 2,5,$440.00,01/02/2025,12:00:00,36093340
IMDM24206630..,HR-80,31/01/2025,23:48:31,PALMILLAS BIS,PALMILLAS BIS 3,2,$219.00,01/02/2025,12:00:00,36093340
IMDM27291905..,TR 182,31/01/2025,23:48:15,LIB. MATEHUALA,LIB. MATEHUALA 6,5,$120.00,01/02/2025,12:00:00,36093340
IMDM27383489..,TR 237,31/01/2025,23:47:49,CALDERON,SLP-V. ARRIAGA,5,$382.00,01/02/2025,12:00:00,36097579
IMDM27383486.., ,31/01/2025,23:46:26,LA ANTIGUA,LA ANTIGUA 08,1,$125.00,01/02/2025,12:00:00,36097579
IMDM27113043..,TR147,31/01/2025,23:45:09,SAYULA,SAYULA 1,4,$132.00,01/02/2025,12:00:00,36093340
IMDM24206630..,HR-80,31/01/2025,23:44:57,ATLACOMULCO-LIB QRO,APASEO GDE-PALMILLAS,2,$383.00,01/02/2025,12:00:00,36093340
IMDM30057670..,TR-238,31/01/2025,23:43:54,SAYULA,SAYULA 15,9,$286.00,01/02/2025,12:00:00,36093340
IMDM27383502..,TR 214,31/01/2025,23:40:46,LAS VIGAS,LAS VIGAS 2,6,$458.00,01/02/2025,12:00:00,36093340
IMDM24206626..,HH53,31/01/2025,23:40:40,LA ANTIGUA,LA ANTIGUA 03,1,$125.00,01/02/2025,12:00:00,36097579
IMDM27291942..,HH159,31/01/2025,23:39:01,MIRADORES,MIRADORES 15,9,$659.00,01/02/2025,12:00:00,36093340
IMDM27291937..,HH156,31/01/2025,23:38:50,AMOZOC-PEROTE,T3-CANTONA,1,$542.00,01/02/2025,12:00:00,36097579
IMDM27058344..,HH130,31/01/2025,23:38:26,JALOSTOTITLAN,JALOSTOTITLAN 5,5,$502.00,01/02/2025,12:00:00,36093340
IMDM27291904..,TR 183,31/01/2025,23:38:08,JALOSTOTITLAN,JALOSTOTITLAN 5,5,$502.00,01/02/2025,12:00:00,36093340
IMDM27492842..,TR288,31/01/2025,23:36:14,VENTURA - EL PEYOTE,VENTURA - PEYOTE 3,5,$312.00,01/02/2025,12:00:00,36093340
IMDM27383503..,HH 215,31/01/2025,23:34:45,AMOZOC-PEROTE,T2-CUAPIAXTLA,1,$241.00,01/02/2025,12:00:00,36097579
IMDM24209285..,46,31/01/2025,23:32:08,AMOZOC-PEROTE,T2-CUAPIAXTLA,1,$241.00,01/02/2025,12:00:00,36097579
IMDM27058335..,111,31/01/2025,23:30:17,CHAPALA,CHAPALA 2,5,$217.00,01/02/2025,12:00:00,36093340
IMDM27383515..,202,31/01/2025,23:29:34,ARMERIA VIAPASS,Armeria-Manzanillo,1,$803.00,01/02/2025,12:00:00,36093340
IMDM24206652..,HH60,31/01/2025,23:28:26,ZINAPECUARO,ZINAPECUARO 1,5,$476.00,01/02/2025,12:00:00,36093340
IMDM27058346..,TR137,31/01/2025,23:26:39,JALOSTOTITLAN,JALOSTOTITLAN 5,5,$502.00,01/02/2025,12:00:00,36093340
IMDM27291924..,TR180,31/01/2025,23:25:37,LIB. SUR DE GUAD.,LIB. SUR DE GUAD. 2,9,$190.00,01/02/2025,12:00:00,36093340
IMDM27291898..,TR-144,31/01/2025,23:25:12,COSAMALOAPAN,COSAMALOAPAN 2,4,$348.00,01/02/2025,12:00:00,36093340
IMDM27383489..,TR 237,31/01/2025,23:23:32,LIB. OTE. S.L.P.,LIB. OTE. S.L.P. 5A,5,$285.00,01/02/2025,12:00:00,36093340
IMDM27291944..,H3-11,31/01/2025,23:19:25,LIB. OTE. S.L.P.,LIB. OTE. S.L.P. 8,1,$105.00,01/02/2025,12:00:00,36093340
IMDM27291932..,TR197,31/01/2025,23:18:55,JALOSTOTITLAN,JALOSTOTITLAN 5,9,$670.00,01/02/2025,12:00:00,36093340
IMDM27058360..,TR037,31/01/2025,23:18:31,MIRADORES,MIRADORES 10,5,$472.00,01/02/2025,12:00:00,36093340
IMDM27291919..,HH176,31/01/2025,23:18:15,AMOZOC-PEROTE,T3-CANTONA,1,$542.00,01/02/2025,12:00:00,36097579
IMDM30057677..,HH 245,31/01/2025,23:13:11,TEPATITLAN,TEPATITLAN 7,5,$638.00,01/02/2025,12:00:00,36093340
IMDM27113043..,TR147,31/01/2025,23:12:48,ACATLAN II,ACATLAN II 1,4,$171.00,01/02/2025,12:00:00,36093340
IMDM27291937..,HH156,31/01/2025,23:11:49,AMOZOC-PEROTE,T2-CUAPIAXTLA,1,$241.00,01/02/2025,12:00:00,36097579
IMDM27291935..,HH35,31/01/2025,23:11:32,CERRO GORDO,CERRO GORDO 24,9,$312.00,01/02/2025,12:00:00,36093340
IMDM27383502..,TR 214,31/01/2025,23:10:43,AMOZOC-PEROTE,T3-CANTONA,1,$382.00,01/02/2025,12:00:00,36097579
IMDM27058353..,HH 112,31/01/2025,23:10:41,DOVALI,DOVALI 8,5,$70.00,01/02/2025,12:00:00,36093340
