Tag,No.Economico,Fecha,Hora,Caseta,Carril,Clase,Importe,Fecha Aplicacion,Hora Aplicacion,Consecar
IMDM27383500..,HH223,28/02/2025,14:02:48,ANE EASYTRIP,MÉX. PA.-CEYLAN,1,$202.00,28/02/2025,12:00:00,36479298
IMDM27383500..,HH223,28/02/2025,13:34:15,ECATEPEC VIAPASS,Piramides-Ecatepec,1,$514.00,28/02/2025,12:00:00,36479298
IMDM27383500..,HH223,28/02/2025,12:58:32,TULANCINGO,TULANCINGO 3,5,$334.00,28/02/2025,12:00:00,36479298
IMDM27383500..,HH223,28/02/2025,11:17:34,AMOZOC-PEROTE,T2-CUAPIAXTLA,1,$179.00,01/03/2025,12:00:00,36488806
IMDM27383500..,HH223,28/02/2025,10:44:58,AMOZOC-PEROTE,T3-CANTONA,1,$382.00,01/03/2025,12:00:00,36488806
IMDM27383500..,HH223,28/02/2025,10:04:11,LAS VIGAS,LAS VIGAS 7,5,$330.00,28/02/2025,12:00:00,36479298
IMDM27383500..,HH223,28/02/2025,09:06:29,MIRADORES,MIRADORES 10,5,$472.00,28/02/2025,12:00:00,36479298
IMDM27383500..,HH223,28/02/2025,08:46:11,PLAN DE RIO,PLAN DE RIO 8,1,$221.00,01/03/2025,12:00:00,36488806
IMDM27383500..,HH223,28/02/2025,08:07:15,LA ANTIGUA,LA ANTIGUA 02,1,$300.00,01/03/2025,12:00:00,36488806
IMDM27383500..,HH223,28/02/2025,00:56:17,PASO DEL TORO,PASO DEL TORO 7,5,$222.00,28/02/2025,12:00:00,36479298
IMDM27383500..,HH223,27/02/2025,23:18:08,COSAMALOAPAN,COSAMALOAPAN 2,5,$512.00,28/02/2025,12:00:00,36474925
IMDM27383500..,HH223,27/02/2025,21:51:33,ACAYUCAN (SAYULA),SAYULA 4,5,$495.00,28/02/2025,12:00:00,36474925
IMDM27383500..,HH223,27/02/2025,12:02:21,ACAYUCAN (SAYULA),ACAYUCAN 7,5,$495.00,27/02/2025,12:00:00,36458655
IMDM27383500..,HH223,27/02/2025,10:36:48,COSAMALOAPAN,COSAMALOAPAN 6,5,$512.00,27/02/2025,12:00:00,36458655
IMDM27383500..,HH223,27/02/2025,08:54:16,PASO DEL TORO,PASO DEL TORO 3,5,$222.00,27/02/2025,12:00:00,36458655
IMDM27383500..,HH223,27/02/2025,08:18:44,LA ANTIGUA,LA ANTIGUA 07,1,$300.00,27/02/2025,12:00:00,36458655
IMDM27383500..,HH223,27/02/2025,07:40:54,PLAN DE RIO,PLAN DEL RÍO 01,1,$221.00,27/02/2025,12:00:00,36458655
IMDM27383500..,HH223,27/02/2025,07:20:59,MIRADORES,MIRADORES 15,5,$472.00,27/02/2025,12:00:00,36458655
IMDM27383500..,HH223,27/02/2025,06:36,LAS VIGAS,LAS VIGAS 2,5,$330.00,27/02/2025,12:00:00,36458655
IMDM27383500..,HH223,27/02/2025,06:02:37,AMOZOC-PEROTE,T3-CANTONA,1,$382.00,27/02/2025,12:00:00,36458655
IMDM27383500..,HH223,27/02/2025,05:16:32,AMOZOC-PEROTE,T2-CUAPIAXTLA,1,$179.00,27/02/2025,12:00:00,36458655
