Id,Caseta,Clase,Camion_Tipo,Importe,Tarifa_Esperada,Diferencia
4,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
37,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
41,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
46,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
47,PERIFERICO,9,Camion_T9,335.0,555.0,-220.0
49,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
52,LEON,3,Camion_T3,58.0,291.0,-233.0
52,LEON,3,Camion_T3,58.0,108.0,-50.0
52,LEON,3,Camion_T3,58.0,87.0,-29.0
52,LEON,3,Camion_T3,58.0,75.0,-17.0
52,LEON,3,Camion_T3,58.0,72.0,-14.0
59,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
65,LEON,5,Camion_T5,85.0,411.0,-326.0
65,LEON,5,Camion_T5,85.0,157.0,-72.0
65,LEON,5,Camion_T5,85.0,131.0,-46.0
65,LEON,5,Camion_T5,85.0,107.0,-22.0
65,LEON,5,Camion_T5,85.0,105.0,-20.0
76,LEON,5,Camion_T5,85.0,411.0,-326.0
76,LEON,5,Camion_T5,85.0,157.0,-72.0
76,LEON,5,Camion_T5,85.0,131.0,-46.0
76,LEON,5,Camion_T5,85.0,107.0,-22.0
76,LEON,5,Camion_T5,85.0,105.0,-20.0
77,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
94,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
99,JOROBAS,5,Camion_T5,254.0,364.0,-110.0
100,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
109,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
117,LEON,5,Camion_T5,157.0,411.0,-254.0
142,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
149,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
172,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
178,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
190,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
191,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
195,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
219,PALMILLAS BIS,9,Camion_T9,641.0,54.0,587.0
220,PALMILLAS BIS,9,Camion_T9,641.0,54.0,587.0
227,CONTEPEC,9,Camion_T9,141.0,275.0,-134.0
244,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
291,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
320,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
329,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
335,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
347,PERIFERICO,9,Camion_T9,335.0,555.0,-220.0
351,CHAPALA,9,Camion_T9,213.0,244.0,-31.0
378,CHAPALA,7,Camion_T7,213.0,244.0,-31.0
392,CHAPALA,4,Camion_T4,123.0,141.0,-18.0
393,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
403,ZACATECAS,9,Camion_T9,89.0,115.0,-26.0
404,CONTEPEC,2,Camion_T2,217.0,141.0,76.0
420,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
421,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
485,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
512,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
516,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
555,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
559,CUENCAME,5,Camion_T5,205.0,541.0,-336.0
559,CUENCAME,5,Camion_T5,205.0,336.0,-131.0
563,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
578,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
622,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
624,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
625,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
631,CUENCAME,5,Camion_T5,205.0,541.0,-336.0
631,CUENCAME,5,Camion_T5,205.0,336.0,-131.0
632,CUENCAME,5,Camion_T5,205.0,541.0,-336.0
632,CUENCAME,5,Camion_T5,205.0,336.0,-131.0
639,NARANJOS,5,Camion_T5,1189.0,565.0,624.0
661,CHAPALA,9,Camion_T9,213.0,244.0,-31.0
676,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
685,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
690,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
691,CUENCAME,5,Camion_T5,205.0,541.0,-336.0
691,CUENCAME,5,Camion_T5,205.0,336.0,-131.0
692,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
713,JOROBAS,5,Camion_T5,254.0,364.0,-110.0
714,JOROBAS,5,Camion_T5,254.0,364.0,-110.0
717,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
731,CHAPALA,9,Camion_T9,213.0,244.0,-31.0
735,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
739,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
740,CUENCAME,5,Camion_T5,205.0,541.0,-336.0
740,CUENCAME,5,Camion_T5,205.0,336.0,-131.0
745,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
759,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
771,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
786,ZACATECAS,9,Camion_T9,89.0,115.0,-26.0
791,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
806,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
846,PALMILLAS BIS,9,Camion_T9,641.0,54.0,587.0
863,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
893,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
894,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
899,JOROBAS,5,Camion_T5,254.0,364.0,-110.0
933,JOROBAS,5,Camion_T5,254.0,364.0,-110.0
943,TEPOTZOTLAN,3,Camion_T3,234.0,471.0,-237.0
962,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
985,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
991,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
1015,CUENCAME,5,Camion_T5,205.0,541.0,-336.0
1015,CUENCAME,5,Camion_T5,205.0,336.0,-131.0
1024,CHAPALA,9,Camion_T9,213.0,244.0,-31.0
1057,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
1058,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
1076,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1099,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
1108,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
1120,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1126,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
1135,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
1156,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
1165,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
1171,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1197,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
1202,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
1233,LEON,5,Camion_T5,85.0,411.0,-326.0
1233,LEON,5,Camion_T5,85.0,157.0,-72.0
1233,LEON,5,Camion_T5,85.0,131.0,-46.0
1233,LEON,5,Camion_T5,85.0,107.0,-22.0
1233,LEON,5,Camion_T5,85.0,105.0,-20.0
1248,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
1253,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
1282,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1292,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
1293,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1337,CONTEPEC,9,Camion_T9,141.0,275.0,-134.0
1348,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
1354,JOROBAS,5,Camion_T5,254.0,364.0,-110.0
1359,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
1374,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
1378,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
1388,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1395,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
1398,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
1414,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1419,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
1420,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
1421,CONTEPEC,9,Camion_T9,141.0,275.0,-134.0
1431,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1445,ZACATECAS,2,Camion_T2,115.0,64.0,51.0
1447,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1455,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
1475,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
1482,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1487,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
1491,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1493,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
1500,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1504,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
1539,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1552,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
1554,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
1557,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1565,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
1594,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
1599,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
1607,ZACATECAS,4,Camion_T4,115.0,89.0,26.0
1629,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
1630,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
1645,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
1678,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
