Id,Caseta,Clase,Camion_Tipo,Importe
10,ATLACOMULCO,5,Camion_T5,350.0
11,VENTURA - EL PEYOTE,5,Camion_T5,312.0
15,ENCARNACION DE DIAZ,5,Camion_T5,417.0
16,LA HINCADA,5,Camion_T5,303.0
17,ENCARNACION DE DIAZ,4,Camion_T4,291.0
19,CERRO GORDO,1,Camion_T1,58.0
24,CTO. EXT. MEXIQUENSE,1,Camion_T1,80.0
25,SN M TEXMELUCAN VIAPASS,1,Camion_T1,448.0
26,APASEO EL GRANDE,4,Camion_T4,469.0
27,SAN MARTIN TEXMELUCAN,9,Camion_T9,2568.0
28,ECATEPEC VIAPASS,1,Camion_T1,930.0
30,CTO. EXT. MEXIQUENSE,1,Camion_T1,645.0
31,ARMERIA VIAPASS,1,Camion_T1,662.0
33,CTO. EXT. MEXIQUENSE,1,Camion_T1,95.0
35,JUÁREZ,5,Camion_T5,248.0
38,QUERETARO,4,Camion_T4,387.0
39,CTO. EXT. MEXIQUENSE,1,Camion_T1,56.0
40,ECATEPEC VIAPASS,1,Camion_T1,514.0
42,CTO. EXT. MEXIQUENSE,1,Camion_T1,437.0
43,CHICHIMECO,1,Camion_T1,161.0
45,CTO. EXT. MEXIQUENSE,1,Camion_T1,160.0
48,ARMERIA VIAPASS,1,Camion_T1,1002.0
50,AMOZOC-PEROTE,1,Camion_T1,382.0
51,SAN FELIPE,5,Camion_T5,190.0
54,LIB. SUR PTE. QRO,9,Camion_T9,486.0
58,CALDERON,5,Camion_T5,382.0
60,LA ANTIGUA,1,Camion_T1,300.0
63,ANE EASYTRIP,1,Camion_T1,305.0
64,ARMERIA VIAPASS,1,Camion_T1,1047.0
66,PLAN DE RIO,1,Camion_T1,221.0
67,ECATEPEC VIAPASS,1,Camion_T1,514.0
68,CTO. EXT. MEXIQUENSE,1,Camion_T1,311.0
69,QUERETARO,9,Camion_T9,544.0
70,ENT GRAN CANAL EASYT,1,Camion_T1,63.0
71,LIB. SUR PTE. QRO,5,Camion_T5,345.0
73,CTO. EXT. MEXIQUENSE,1,Camion_T1,437.0
74,PLAN DE RIO,1,Camion_T1,221.0
75,TULANCINGO,5,Camion_T5,334.0
78,LIB. PUEBLA,1,Camion_T1,145.0
80,CTO. EXT. MEXIQUENSE,1,Camion_T1,160.0
81,CTO. EXT. MEXIQUENSE,1,Camion_T1,311.0
83,SAN MIGUEL,1,Camion_T1,257.0
85,APASEO EL GRANDE,5,Camion_T5,636.0
86,CERRO GORDO,1,Camion_T1,58.0
87,LIB. MATEHUALA,5,Camion_T5,132.0
88,CTO. EXT. MEXIQUENSE,1,Camion_T1,437.0
89,VENTURA - EL PEYOTE,5,Camion_T5,312.0
92,S.MARTIN PUE.,1,Camion_T1,103.0
95,SAN MARTIN TEXMELUCAN,4,Camion_T4,1117.0
96,SANCTORUM,9,Camion_T9,1610.0
