Via,Nombre,Camion_T2,Camion_T3,Camion_T4,Camion_T5,Camion_T6,Camion_T7,Camion_T8,Camion_T9
,NOMBRE,T2,T3,T4,T5,T6,T7,T8,T9
MEXICO-PUEBLA,CHALCO,46.00,46.00,74.00,74.00,114.00,114.00,114.00,114.00
MEXICO-PUEBLA,IXTAPALUCA,46.00,46.00,74.00,74.00,116.00,116.00,116.00,116.00
MEXICO-PUEBLA,SAN MARCOS,306.00,306.00,628.00,628.00,860.00,860.00,860.00,860.00
MEXICO-PUEBLA,S. MARTIN PUE,117.00,117.00,238.00,238.00,334.00,334.00,334.00,334.00
LIBRAMIENTO AMECAMECA-NEPANTLA,OZUMBA,100.00,100.00,100.00,137.00,137.00,192.00,192.00,192.00
SAN MARTÍN TEXMELUCAN-TLAXCALA,SAN MARTÍN TEXMELUCAN-VIAPASS,184.00,218.00,218.00,335.00,335.00,448.00,448.00,448.00
JANTETELCO - EL HIGUERON,EL HIGUERON,468.00,468.00,468.00,764.00,764.00,934.00,934.00,934.00
JANTETELCO - EL HIGUERON,EL HIGUERON,250.00,250.00,250.00,408.00,408.00,497.00,497.00,497.00
JANTETELCO - EL HIGUERON,EL HIGUERON,218.00,218.00,218.00,358.00,358.00,436.00,436.00,436.00
PUEBLA-ACATZINGO,AMOZOC,171.00,171.00,328.00,328.00,438.00,438.00,438.00,438.00
PUEBLA-ACATZINGO,AMOZOC,87.00,87.00,164.00,164.00,230.00,230.00,230.00,230.00
ACATZINGO-CD. MENDOZA,ESPERANZA,352.00,352.00,680.00,680.00,990.00,990.00,990.00,990.00
ACATZINGO-CD. MENDOZA,ESPERANZA,184.00,184.00,339.00,339.00,495.00,495.00,495.00,495.00
CORDOBA-VERACRUZ,CUITLAHUAC,178.00,178.00,178.00,253.00,253.00,266.00,266.00,266.00
CORDOBA-VERACRUZ,CUITLAHUAC,120.00,120.00,120.00,168.00,168.00,165.00,165.00,165.00
CORDOBA-VERACRUZ,CUITLAHUAC,57.00,57.00,57.00,85.00,85.00,82.00,82.00,82.00
CORDOBA-VERACRUZ,PASO DEL TORO,203.00,203.00,203.00,263.00,263.00,307.00,307.00,307.00
CORDOBA-VERACRUZ,PASO DEL TORO,165.00,165.00,165.00,222.00,222.00,253.00,253.00,253.00
CORDOBA-VERACRUZ,PASO DEL TORO,36.00,36.00,36.00,43.00,43.00,48.00,48.00,48.00
TEHUACAN-OAXACA,TEHUACAN,124.00,124.00,155.00,155.00,243.00,243.00,243.00,243.00
TEHUACAN-OAXACA,MIAHUATLAN,64.00,64.00,90.00,90.00,133.00,133.00,133.00,133.00
TEHUACAN-OAXACA,SUCHIXTLAHUACA,198.00,198.00,241.00,241.00,336.00,336.00,336.00,336.00
TEHUACAN-OAXACA,SUCHIXTLAHUACA,97.00,97.00,116.00,116.00,167.00,167.00,167.00,167.00
TEHUACAN-OAXACA,HUITZO,250.00,250.00,291.00,291.00,453.00,453.00,453.00,453.00
TEHUACAN-OAXACA,HUITZO,190.00,190.00,241.00,241.00,301.00,301.00,301.00,301.00
TEHUACAN-OAXACA,HUITZO,58.00,58.00,85.00,85.00,118.00,118.00,118.00,118.00
BARRANCA LARGA-VENTANILLA,BARRANCA LARGA,468.00,468.00,468.00,702.00,702.00,1053.00,1053.00,1053.00
BARRANCA LARGA-VENTANILLA,VENTANILLA,468.00,468.00,468.00,702.00,702.00,1053.00,1053.00,1053.00
LA TINAJA-COSOLEACAQUE,COSAMALOAPAN,348.00,348.00,348.00,512.00,512.00,590.00,590.00,590.00
LA TINAJA-COSOLEACAQUE,COSAMALOAPAN,330.00,330.00,330.00,414.00,414.00,413.00,413.00,413.00
LA TINAJA-COSOLEACAQUE,COSAMALOAPAN,87.00,87.00,87.00,97.00,97.00,92.00,92.00,92.00
